repo_name,stars,forks,watchers,language,url,commits
linera-io/linera-protocol,32125,2355,32125,Rust,https://api.github.com/repos/linera-io/linera-protocol,5277
microsoft/MS-DOS,32120,4636,32120,Assembly,https://api.github.com/repos/microsoft/MS-DOS,104
lizongying/my-tv,32100,3611,32100,C,https://api.github.com/repos/lizongying/my-tv,165
numpy/numpy,32079,12375,32079,Python,https://api.github.com/repos/numpy/numpy,41222
OWASP/CheatSheetSeries,32068,4460,32068,Python,https://api.github.com/repos/OWASP/CheatSheetSeries,2175
The-Run-Philosophy-Organization/run,32066,2561,32066,,https://api.github.com/repos/The-Run-Philosophy-Organization/run,1290
tokio-rs/tokio,32065,3060,32065,Rust,https://api.github.com/repos/tokio-rs/tokio,4515
blakeblackshear/frigate,32057,3103,32057,TypeScript,https://api.github.com/repos/blakeblackshear/frigate,5791
motiondivision/motion,32041,1176,32041,TypeScript,https://api.github.com/repos/motiondivision/motion,7684
linexjlin/GPTs,31987,4389,31987,,https://api.github.com/repos/linexjlin/GPTs,304
hasura/graphql-engine,31967,2876,31967,TypeScript,https://api.github.com/repos/hasura/graphql-engine,9956
VectifyAI/PageIndex,31945,2751,31945,Python,https://api.github.com/repos/VectifyAI/PageIndex,284
dokku/dokku,31897,2038,31897,Shell,https://api.github.com/repos/dokku/dokku,13679
airbnb/lottie-web,31862,2922,31862,JavaScript,https://api.github.com/repos/airbnb/lottie-web,2436
waydabber/BetterDisplay,31862,606,31862,,https://api.github.com/repos/waydabber/BetterDisplay,774
niklasvh/html2canvas,31858,4884,31858,TypeScript,https://api.github.com/repos/niklasvh/html2canvas,1066
conductor-oss/conductor,31836,901,31836,Java,https://api.github.com/repos/conductor-oss/conductor,5597
telegramdesktop/tdesktop,31832,6733,31832,C++,https://api.github.com/repos/telegramdesktop/tdesktop,23433
Trinea/android-open-project,31830,11847,31830,,https://api.github.com/repos/Trinea/android-open-project,965
tailscale/tailscale,31822,2582,31822,Go,https://api.github.com/repos/tailscale/tailscale,10654
kubernetes/minikube,31820,5228,31820,Go,https://api.github.com/repos/kubernetes/minikube,27457
codex-team/editor.js,31775,2234,31775,TypeScript,https://api.github.com/repos/codex-team/editor.js,850
amix/vimrc,31764,7263,31764,Vim Script,https://api.github.com/repos/amix/vimrc,490
containers/podman,31763,3117,31763,Go,https://api.github.com/repos/containers/podman,27308
pear-devs/pear-desktop,31745,1818,31745,TypeScript,https://api.github.com/repos/pear-devs/pear-desktop,5132
facebook/rocksdb,31693,6834,31693,C++,https://api.github.com/repos/facebook/rocksdb,13882
ianstormtaylor/slate,31680,3322,31680,TypeScript,https://api.github.com/repos/ianstormtaylor/slate,4336
hehonghui/awesome-english-ebooks,31679,2607,31679,CSS,https://api.github.com/repos/hehonghui/awesome-english-ebooks,248
ReactiveX/rxjs,31679,2995,31679,TypeScript,https://api.github.com/repos/ReactiveX/rxjs,5461
Chanzhaoyu/chatgpt-web,31668,10846,31668,Vue,https://api.github.com/repos/Chanzhaoyu/chatgpt-web,401
CopilotKit/CopilotKit,31655,4085,31655,TypeScript,https://api.github.com/repos/CopilotKit/CopilotKit,9685
dgtlmoon/changedetection.io,31654,1801,31654,Python,https://api.github.com/repos/dgtlmoon/changedetection.io,2366
alpinejs/alpine,31597,1366,31597,HTML,https://api.github.com/repos/alpinejs/alpine,2365
ValveSoftware/Proton,31571,1447,31571,C++,https://api.github.com/repos/ValveSoftware/Proton,2547
VSCodium/vscodium,31549,1716,31549,Shell,https://api.github.com/repos/VSCodium/vscodium,1830
DevToys-app/DevToys,31540,1750,31540,C#,https://api.github.com/repos/DevToys-app/DevToys,1081
zeroclaw-labs/zeroclaw,31519,4644,31519,Rust,https://api.github.com/repos/zeroclaw-labs/zeroclaw,3299
eriklindernoren/ML-From-Scratch,31514,5270,31514,Python,https://api.github.com/repos/eriklindernoren/ML-From-Scratch,374
influxdata/influxdb,31506,3703,31506,Rust,https://api.github.com/repos/influxdata/influxdb,49914
qdrant/qdrant,31490,2287,31490,Rust,https://api.github.com/repos/qdrant/qdrant,6041
coolsnowwolf/lede,31451,19329,31451,C,https://api.github.com/repos/coolsnowwolf/lede,7814
donnemartin/interactive-coding-challenges,31449,4635,31449,Python,https://api.github.com/repos/donnemartin/interactive-coding-challenges,790
shardeum/shardeum,31432,706,31432,TypeScript,https://api.github.com/repos/shardeum/shardeum,1978
refined-github/refined-github,31377,1764,31377,TypeScript,https://api.github.com/repos/refined-github/refined-github,4722
iawia002/lux,31371,3303,31371,Go,https://api.github.com/repos/iawia002/lux,869
XIU2/TrackersListCollection,31352,1786,31352,,https://api.github.com/repos/XIU2/TrackersListCollection,6261
mathiasbynens/dotfiles,31347,8516,31347,Shell,https://api.github.com/repos/mathiasbynens/dotfiles,762
parallax/jsPDF,31228,4798,31228,JavaScript,https://api.github.com/repos/parallax/jsPDF,2332
docsifyjs/docsify,31216,5814,31216,JavaScript,https://api.github.com/repos/docsifyjs/docsify,1957
fabricjs/fabric.js,31180,3625,31180,TypeScript,https://api.github.com/repos/fabricjs/fabric.js,5371
multica-ai/multica,31175,3779,31175,Go,https://api.github.com/repos/multica-ai/multica,3229
