repo_name,stars,forks,watchers,language,url,commits
MunGell/awesome-for-beginners,85835,7883,85835,,https://api.github.com/repos/MunGell/awesome-for-beginners,969
astral-sh/uv,85332,3153,85332,Rust,https://api.github.com/repos/astral-sh/uv,9172
openai/codex,84585,12321,84585,Rust,https://api.github.com/repos/openai/codex,6765
laravel/laravel,84318,24727,84318,Blade,https://api.github.com/repos/laravel/laravel,7275
syncthing/syncthing,84295,5200,84295,Go,https://api.github.com/repos/syncthing/syncthing,8098
macrozheng/mall,83675,29707,83675,Java,https://api.github.com/repos/macrozheng/mall,1083
sherlock-project/sherlock,83572,9756,83572,Python,https://api.github.com/repos/sherlock-project/sherlock,2919
zed-industries/zed,83523,8636,83523,Rust,https://api.github.com/repos/zed-industries/zed,37928
realworld-apps/realworld,83465,7606,83465,TypeScript,https://api.github.com/repos/realworld-apps/realworld,1144
ByteByteGoHq/system-design-101,82759,9151,82759,,https://api.github.com/repos/ByteByteGoHq/system-design-101,25
karpathy/autoresearch,82699,11995,82699,Python,https://api.github.com/repos/karpathy/autoresearch,36
DopplerHQ/awesome-interview-questions,82671,9521,82671,,https://api.github.com/repos/DopplerHQ/awesome-interview-questions,451
animate-css/animate.css,82553,15995,82553,CSS,https://api.github.com/repos/animate-css/animate.css,664
VoltAgent/awesome-design-md,82540,9936,82540,,https://api.github.com/repos/VoltAgent/awesome-design-md,46
bregman-arie/devops-exercises,82449,19414,82449,Python,https://api.github.com/repos/bregman-arie/devops-exercises,796
localsend/localsend,81754,4409,81754,Dart,https://api.github.com/repos/localsend/localsend,1848
tonsky/FiraCode,81637,3188,81637,Clojure,https://api.github.com/repos/tonsky/FiraCode,626
nextlevelbuilder/ui-ux-pro-max-skill,81527,8391,81527,Python,https://api.github.com/repos/nextlevelbuilder/ui-ux-pro-max-skill,134
Developer-Y/cs-video-courses,81511,11268,81511,,https://api.github.com/repos/Developer-Y/cs-video-courses,532
infiniflow/ragflow,81036,9282,81036,Python,https://api.github.com/repos/infiniflow/ragflow,6354
fighting41love/funNLP,80803,15220,80803,Python,https://api.github.com/repos/fighting41love/funNLP,159
vitejs/vite,80767,8205,80767,TypeScript,https://api.github.com/repos/vitejs/vite,9264
vllm-project/vllm,80710,17095,80710,Python,https://api.github.com/repos/vllm-project/vllm,16864
spring-projects/spring-boot,80688,41933,80688,Java,https://api.github.com/repos/spring-projects/spring-boot,61189
junegunn/fzf,80425,2803,80425,Go,https://api.github.com/repos/junegunn/fzf,3616
mlabonne/llm-course,79544,9245,79544,,https://api.github.com/repos/mlabonne/llm-course,96
anuraghazra/github-readme-stats,79477,33538,79477,JavaScript,https://api.github.com/repos/anuraghazra/github-readme-stats,1786
hoppscotch/hoppscotch,79255,5885,79255,TypeScript,https://api.github.com/repos/hoppscotch/hoppscotch,6119
Stirling-Tools/Stirling-PDF,79090,6924,79090,TypeScript,https://api.github.com/repos/Stirling-Tools/Stirling-PDF,5130
doocs/advanced-java,78976,19223,78976,Java,https://api.github.com/repos/doocs/advanced-java,785
netdata/netdata,78904,6439,78904,C,https://api.github.com/repos/netdata/netdata,22241
TauricResearch/TradingAgents,78426,15286,78426,Python,https://api.github.com/repos/TauricResearch/TradingAgents,190
PaddlePaddle/PaddleOCR,78341,10467,78341,Python,https://api.github.com/repos/PaddlePaddle/PaddleOCR,6886
jesseduffield/lazygit,78299,2842,78299,Go,https://api.github.com/repos/jesseduffield/lazygit,7499
d2l-ai/d2l-zh,77936,12293,77936,Python,https://api.github.com/repos/d2l-ai/d2l-zh,4116
swisskyrepo/PayloadsAllTheThings,77861,16983,77861,Python,https://api.github.com/repos/swisskyrepo/PayloadsAllTheThings,2185
farion1231/cc-switch,77857,5068,77857,Rust,https://api.github.com/repos/farion1231/cc-switch,1744
tensorflow/models,77661,45084,77661,Python,https://api.github.com/repos/tensorflow/models,9738
coder/code-server,77649,6679,77649,TypeScript,https://api.github.com/repos/coder/code-server,4152
lobehub/lobehub,77516,15257,77516,TypeScript,https://api.github.com/repos/lobehub/lobehub,10813
thedotmack/claude-mem,77380,6665,77380,TypeScript,https://api.github.com/repos/thedotmack/claude-mem,1906
nomic-ai/gpt4all,77364,8328,77364,C++,https://api.github.com/repos/nomic-ai/gpt4all,2289
ventoy/Ventoy,76767,4814,76767,C,https://api.github.com/repos/ventoy/Ventoy,1166
elastic/elasticsearch,76744,25909,76744,Java,https://api.github.com/repos/elastic/elasticsearch,100266
FortAwesome/Font-Awesome,76624,12219,76624,JavaScript,https://api.github.com/repos/FortAwesome/Font-Awesome,21
MisterBooo/LeetCodeAnimation,76612,13921,76612,Java,https://api.github.com/repos/MisterBooo/LeetCodeAnimation,246
sdmg15/Best-websites-a-programmer-should-visit,76080,8570,76080,,https://api.github.com/repos/sdmg15/Best-websites-a-programmer-should-visit,1275
Z4nzu/hackingtool,76076,8564,76076,Python,https://api.github.com/repos/Z4nzu/hackingtool,335
awesomedata/awesome-public-datasets,75587,11483,75587,,https://api.github.com/repos/awesomedata/awesome-public-datasets,844
typicode/json-server,75579,7281,75579,JavaScript,https://api.github.com/repos/typicode/json-server,1042
nestjs/nest,75572,8305,75572,TypeScript,https://api.github.com/repos/nestjs/nest,20725
dair-ai/Prompt-Engineering-Guide,74857,8105,74857,MDX,https://api.github.com/repos/dair-ai/Prompt-Engineering-Guide,1589
redis/redis,74492,24632,74492,C,https://api.github.com/repos/redis/redis,13097
OpenHands/OpenHands,74492,9441,74492,Python,https://api.github.com/repos/OpenHands/OpenHands,6772
tesseract-ocr/tesseract,74214,10626,74214,C++,https://api.github.com/repos/tesseract-ocr/tesseract,6613
unionlabs/union,74044,3891,74044,Rust,https://api.github.com/repos/unionlabs/union,16335
grafana/grafana,73940,13930,73940,TypeScript,https://api.github.com/repos/grafana/grafana,69434
openai/openai-cookbook,73691,12461,73691,Jupyter Notebook,https://api.github.com/repos/openai/openai-cookbook,1393
vuejs/awesome-vue,73599,9466,73599,,https://api.github.com/repos/vuejs/awesome-vue,5318
enaqx/awesome-react,73357,7586,73357,,https://api.github.com/repos/enaqx/awesome-react,2044
ocornut/imgui,73353,11763,73353,C++,https://api.github.com/repos/ocornut/imgui,9884
twitter/the-algorithm,73301,13276,73301,Scala,https://api.github.com/repos/twitter/the-algorithm,31
CompVis/stable-diffusion,73039,10606,73039,Jupyter Notebook,https://api.github.com/repos/CompVis/stable-diffusion,33
apache/superset,72941,17360,72941,TypeScript,https://api.github.com/repos/apache/superset,20121
PKUFlyingPig/cs-self-learning,72867,7890,72867,HTML,https://api.github.com/repos/PKUFlyingPig/cs-self-learning,569
python/cpython,72807,34676,72807,Python,https://api.github.com/repos/python/cpython,131475
abi/screenshot-to-code,72653,8950,72653,TypeScript,https://api.github.com/repos/abi/screenshot-to-code,1299
caddyserver/caddy,72644,4752,72644,Go,https://api.github.com/repos/caddyserver/caddy,2579
thedaviddias/Front-End-Checklist,72637,6637,72637,,https://api.github.com/repos/thedaviddias/Front-End-Checklist,709
obsproject/obs-studio,72594,9274,72594,C,https://api.github.com/repos/obsproject/obs-studio,15508
josephmisiti/awesome-machine-learning,72539,15466,72539,Python,https://api.github.com/repos/josephmisiti/awesome-machine-learning,2131
daytonaio/daytona,72460,5578,72460,TypeScript,https://api.github.com/repos/daytonaio/daytona,2537
strapi/strapi,72225,9725,72225,TypeScript,https://api.github.com/repos/strapi/strapi,37178
moby/moby,71585,18953,71585,Go,https://api.github.com/repos/moby/moby,56617
pallets/flask,71571,16854,71571,Python,https://api.github.com/repos/pallets/flask,5538
Eugeny/tabby,71522,4030,71522,TypeScript,https://api.github.com/repos/Eugeny/tabby,6458
hiyouga/LlamaFactory,71505,8720,71505,Python,https://api.github.com/repos/hiyouga/LlamaFactory,3030
fffaraz/awesome-cpp,71385,8295,71385,,https://api.github.com/repos/fffaraz/awesome-cpp,2025
hakimel/reveal.js,71263,16806,71263,JavaScript,https://api.github.com/repos/hakimel/reveal.js,3356
protocolbuffers/protobuf,71257,16132,71257,C++,https://api.github.com/repos/protocolbuffers/protobuf,23139
TapXWorld/ChinaTextbook,71164,15951,71164,Roff,https://api.github.com/repos/TapXWorld/ChinaTextbook,138
binhnguyennus/awesome-scalability,71159,6991,71159,,https://api.github.com/repos/binhnguyennus/awesome-scalability,1216
danielmiessler/SecLists,71076,25010,71076,PHP,https://api.github.com/repos/danielmiessler/SecLists,6611
AppFlowy-IO/AppFlowy,71034,5293,71034,Dart,https://api.github.com/repos/AppFlowy-IO/AppFlowy,7209
binary-husky/gpt_academic,70702,8392,70702,Python,https://api.github.com/repos/binary-husky/gpt_academic,2403
nektos/act,70444,1931,70444,Go,https://api.github.com/repos/nektos/act,1316
swiftlang/swift,70006,10723,70006,Swift,https://api.github.com/repos/swiftlang/swift,200813
bytedance/deer-flow,69089,9246,69089,Python,https://api.github.com/repos/bytedance/deer-flow,2145
expressjs/express,69051,23407,69051,JavaScript,https://api.github.com/repos/expressjs/express,6146
juliangarnier/anime,68783,4634,68783,JavaScript,https://api.github.com/repos/juliangarnier/anime,904
NationalSecurityAgency/ghidra,68728,7555,68728,Java,https://api.github.com/repos/NationalSecurityAgency/ghidra,17484
ansible/ansible,68630,24178,68630,Python,https://api.github.com/repos/ansible/ansible,55450
toeverything/AFFiNE,68619,4872,68619,TypeScript,https://api.github.com/repos/toeverything/AFFiNE,11277
prakhar1989/awesome-courses,68566,8363,68566,,https://api.github.com/repos/prakhar1989/awesome-courses,554
base/node,68554,3233,68554,Shell,https://api.github.com/repos/base/node,276
FoundationAgents/MetaGPT,68214,8690,68214,Python,https://api.github.com/repos/FoundationAgents/MetaGPT,6367
OpenBB-finance/OpenBB,67924,6837,67924,Python,https://api.github.com/repos/OpenBB-finance/OpenBB,6846
chrislgarry/Apollo-11,67908,7684,67908,Assembly,https://api.github.com/repos/chrislgarry/Apollo-11,586
chartjs/Chart.js,67440,11950,67440,JavaScript,https://api.github.com/repos/chartjs/Chart.js,4584
paperclipai/paperclip,67058,12303,67058,TypeScript,https://api.github.com/repos/paperclipai/paperclip,2503
labmlai/annotated_deep_learning_paper_implementations,66792,6707,66792,Python,https://api.github.com/repos/labmlai/annotated_deep_learning_paper_implementations,860
leonardomso/33-js-concepts,66454,9189,66454,JavaScript,https://api.github.com/repos/leonardomso/33-js-concepts,1020
apache/echarts,66400,19806,66400,TypeScript,https://api.github.com/repos/apache/echarts,10369
xtekky/gpt4free,66262,13589,66262,Python,https://api.github.com/repos/xtekky/gpt4free,4280
scikit-learn/scikit-learn,66145,27031,66145,Python,https://api.github.com/repos/scikit-learn/scikit-learn,33672
unclecode/crawl4ai,66058,6750,66058,Python,https://api.github.com/repos/unclecode/crawl4ai,1468
sindresorhus/awesome-nodejs,65780,6224,65780,,https://api.github.com/repos/sindresorhus/awesome-nodejs,886
webpack/webpack,65769,9355,65769,JavaScript,https://api.github.com/repos/webpack/webpack,18688
TheAlgorithms/Java,65690,21159,65690,Java,https://api.github.com/repos/TheAlgorithms/Java,3199
bradtraversy/design-resources-for-developers,65607,12031,65607,,https://api.github.com/repos/bradtraversy/design-resources-for-developers,2367
lydiahallie/javascript-questions,65330,9219,65330,,https://api.github.com/repos/lydiahallie/javascript-questions,1374
kelseyhightower/nocode,65299,4828,65299,Dockerfile,https://api.github.com/repos/kelseyhightower/nocode,4
microsoft/ai-agents-for-beginners,65129,21477,65129,Jupyter Notebook,https://api.github.com/repos/microsoft/ai-agents-for-beginners,1436
facebook/docusaurus,64979,9889,64979,TypeScript,https://api.github.com/repos/facebook/docusaurus,6626
kdn251/interviews,64971,12898,64971,Java,https://api.github.com/repos/kdn251/interviews,448
localstack/localstack,64965,4740,64965,Python,https://api.github.com/repos/localstack/localstack,7855
unslothai/unsloth,64951,5755,64951,Python,https://api.github.com/repos/unslothai/unsloth,5357
gorhill/uBlock,64846,4119,64846,JavaScript,https://api.github.com/repos/gorhill/uBlock,13916
opendatalab/MinerU,64475,5447,64475,Python,https://api.github.com/repos/opendatalab/MinerU,5467
alacritty/alacritty,64154,3463,64154,Rust,https://api.github.com/repos/alacritty/alacritty,2484
prometheus/prometheus,64130,10420,64130,Go,https://api.github.com/repos/prometheus/prometheus,17622
keras-team/keras,64079,19772,64079,Python,https://api.github.com/repos/keras-team/keras,12401
BurntSushi/ripgrep,64045,2568,64045,Rust,https://api.github.com/repos/BurntSushi/ripgrep,2209
openinterpreter/open-interpreter,63613,5550,63613,Python,https://api.github.com/repos/openinterpreter/open-interpreter,3120
gsd-build/get-shit-done,63595,5394,63595,JavaScript,https://api.github.com/repos/gsd-build/get-shit-done,2915
LadybirdBrowser/ladybird,63509,3046,63509,C++,https://api.github.com/repos/LadybirdBrowser/ladybird,78394
JuliusBrussee/caveman,63483,3565,63483,JavaScript,https://api.github.com/repos/JuliusBrussee/caveman,185
ruvnet/RuView,63373,8387,63373,Rust,https://api.github.com/repos/ruvnet/RuView,622
traefik/traefik,63265,6008,63265,Go,https://api.github.com/repos/traefik/traefik,6182
pathwaycom/pathway,63247,1671,63247,Python,https://api.github.com/repos/pathwaycom/pathway,1972
socketio/socket.io,63096,10142,63096,TypeScript,https://api.github.com/repos/socketio/socket.io,7721
nocodb/nocodb,63084,4782,63084,TypeScript,https://api.github.com/repos/nocodb/nocodb,42396
ryanoasis/nerd-fonts,63082,3921,63082,CSS,https://api.github.com/repos/ryanoasis/nerd-fonts,2975
Asabeneh/30-Days-Of-Python,62965,11933,62965,Python,https://api.github.com/repos/Asabeneh/30-Days-Of-Python,715
rust-lang/rustlings,62917,11199,62917,Rust,https://api.github.com/repos/rust-lang/rustlings,3351
resume/resume.github.com,62855,1370,62855,JavaScript,https://api.github.com/repos/resume/resume.github.com,263
tldr-pages/tldr,62615,5244,62615,Markdown,https://api.github.com/repos/tldr-pages/tldr,22651
cline/cline,62167,6497,62167,TypeScript,https://api.github.com/repos/cline/cline,5952
shareAI-lab/learn-claude-code,61971,10121,61971,Python,https://api.github.com/repos/shareAI-lab/learn-claude-code,71
scrapy/scrapy,61774,11561,61774,Python,https://api.github.com/repos/scrapy/scrapy,11117
FuelLabs/sway,61682,5422,61682,Rust,https://api.github.com/repos/FuelLabs/sway,3609
666ghj/MiroFish,61530,9646,61530,Python,https://api.github.com/repos/666ghj/MiroFish,260
youngyangyang04/leetcode-master,61468,12337,61468,Shell,https://api.github.com/repos/youngyangyang04/leetcode-master,8484
reduxjs/redux,61448,15069,61448,TypeScript,https://api.github.com/repos/reduxjs/redux,4158
lodash/lodash,61237,7158,61237,JavaScript,https://api.github.com/repos/lodash/lodash,7701
jgraph/drawio-desktop,61231,5677,61231,JavaScript,https://api.github.com/repos/jgraph/drawio-desktop,1127
ComposioHQ/awesome-claude-skills,61207,6668,61207,Python,https://api.github.com/repos/ComposioHQ/awesome-claude-skills,75
git/git,61094,27919,61094,C,https://api.github.com/repos/git/git,80894
commaai/openpilot,61004,10917,61004,Python,https://api.github.com/repos/commaai/openpilot,17179
minio/minio,60987,7518,60987,Go,https://api.github.com/repos/minio/minio,12565
dani-garcia/vaultwarden,60917,2827,60917,Rust,https://api.github.com/repos/dani-garcia/vaultwarden,3040
h5bp/Front-end-Developer-Interview-Questions,60873,11041,60873,Nunjucks,https://api.github.com/repos/h5bp/Front-end-Developer-Interview-Questions,1046
xingshaocheng/architect-awesome,60818,17713,60818,,https://api.github.com/repos/xingshaocheng/architect-awesome,307
atom/atom,60801,17229,60801,JavaScript,https://api.github.com/repos/atom/atom,38533
topjohnwu/Magisk,60556,17500,60556,Kotlin,https://api.github.com/repos/topjohnwu/Magisk,7638
Mintplex-Labs/anything-llm,60456,6541,60456,JavaScript,https://api.github.com/repos/Mintplex-Labs/anything-llm,1981
FFmpeg/FFmpeg,60379,13838,60379,C,https://api.github.com/repos/FFmpeg/FFmpeg,124585
nuxt/nuxt,60265,5609,60265,TypeScript,https://api.github.com/repos/nuxt/nuxt,14905
PlexPt/awesome-chatgpt-prompts-zh,60257,13587,60257,,https://api.github.com/repos/PlexPt/awesome-chatgpt-prompts-zh,179
adam-p/markdown-here,60200,11065,60200,JavaScript,https://api.github.com/repos/adam-p/markdown-here,852
docling-project/docling,60161,4172,60161,Python,https://api.github.com/repos/docling-project/docling,1053
Solido/awesome-flutter,60081,6875,60081,Dart,https://api.github.com/repos/Solido/awesome-flutter,1943
spring-projects/spring-framework,59966,38825,59966,Java,https://api.github.com/repos/spring-projects/spring-framework,35035
usememos/memos,59933,4390,59933,Go,https://api.github.com/repos/usememos/memos,4515
jquery/jquery,59844,20427,59844,JavaScript,https://api.github.com/repos/jquery/jquery,6842
CorentinJ/Real-Time-Voice-Cloning,59765,9409,59765,Python,https://api.github.com/repos/CorentinJ/Real-Time-Voice-Cloning,303
pathwaycom/llm-app,59650,1430,59650,Jupyter Notebook,https://api.github.com/repos/pathwaycom/llm-app,249
shadowsocks/shadowsocks-windows,59556,16269,59556,C#,https://api.github.com/repos/shadowsocks/shadowsocks-windows,1502
warpdotdev/warp,59536,4676,59536,Rust,https://api.github.com/repos/warpdotdev/warp,731
withastro/astro,59480,3471,59480,TypeScript,https://api.github.com/repos/withastro/astro,14341
meta-llama/llama,59436,9798,59436,Python,https://api.github.com/repos/meta-llama/llama,148
virattt/ai-hedge-fund,59118,10406,59118,Python,https://api.github.com/repos/virattt/ai-hedge-fund,842
code-yeongyu/oh-my-openagent,58988,4795,58988,TypeScript,https://api.github.com/repos/code-yeongyu/oh-my-openagent,6747
sharkdp/bat,58970,1564,58970,Rust,https://api.github.com/repos/sharkdp/bat,3914
FiloSottile/mkcert,58954,3116,58954,Go,https://api.github.com/repos/FiloSottile/mkcert,165
pi-hole/pi-hole,58887,3203,58887,Shell,https://api.github.com/repos/pi-hole/pi-hole,7133
angular/angular.js,58642,27125,58642,JavaScript,https://api.github.com/repos/angular/angular.js,9074
karpathy/nanoGPT,58604,10074,58604,Python,https://api.github.com/repos/karpathy/nanoGPT,210
pocketbase/pocketbase,58477,3389,58477,Go,https://api.github.com/repos/pocketbase/pocketbase,2326
rails/rails,58449,22247,58449,Ruby,https://api.github.com/repos/rails/rails,97814
microsoft/autogen,58285,8800,58285,Python,https://api.github.com/repos/microsoft/autogen,3782
pmndrs/zustand,58093,2055,58093,TypeScript,https://api.github.com/repos/pmndrs/zustand,1360
sansan0/TrendRadar,58027,24363,58027,Python,https://api.github.com/repos/sansan0/TrendRadar,233
meilisearch/meilisearch,57681,2548,57681,Rust,https://api.github.com/repos/meilisearch/meilisearch,13950
starship/starship,57676,2525,57676,Rust,https://api.github.com/repos/starship/starship,4261
RVC-Boss/GPT-SoVITS,57674,6287,57674,Python,https://api.github.com/repos/RVC-Boss/GPT-SoVITS,1044
harry0703/MoneyPrinterTurbo,57551,8328,57551,Python,https://api.github.com/repos/harry0703/MoneyPrinterTurbo,544
rust-unofficial/awesome-rust,57466,3372,57466,Rust,https://api.github.com/repos/rust-unofficial/awesome-rust,6011
h5bp/html5-boilerplate,57456,12301,57456,JavaScript,https://api.github.com/repos/h5bp/html5-boilerplate,2623
ultralytics/ultralytics,57441,11035,57441,Python,https://api.github.com/repos/ultralytics/ultralytics,4003
ultralytics/yolov5,57415,17472,57415,Python,https://api.github.com/repos/ultralytics/yolov5,2968
scutan90/DeepLearning-500-questions,57406,15939,57406,JavaScript,https://api.github.com/repos/scutan90/DeepLearning-500-questions,1275
rclone/rclone,57322,5104,57322,Go,https://api.github.com/repos/rclone/rclone,9752
zylon-ai/private-gpt,57212,7600,57212,Python,https://api.github.com/repos/zylon-ai/private-gpt,334
FuelLabs/fuel-core,57056,2862,57056,Rust,https://api.github.com/repos/FuelLabs/fuel-core,1501
tiimgreen/github-cheat-sheet,56976,5416,56976,,https://api.github.com/repos/tiimgreen/github-cheat-sheet,507
soimort/you-get,56852,9747,56852,Python,https://api.github.com/repos/soimort/you-get,2600
2dust/v2rayNG,56578,7442,56578,Kotlin,https://api.github.com/repos/2dust/v2rayNG,1481
remix-run/react-router,56429,10859,56429,TypeScript,https://api.github.com/repos/remix-run/react-router,10892
Textualize/rich,56419,2165,56419,Python,https://api.github.com/repos/Textualize/rich,4458
mem0ai/mem0,56415,6431,56415,Python,https://api.github.com/repos/mem0ai/mem0,2194
ageitgey/face_recognition,56404,13729,56404,Python,https://api.github.com/repos/ageitgey/face_recognition,238
FoundationAgents/OpenManus,56349,9823,56349,Python,https://api.github.com/repos/FoundationAgents/OpenManus,526
marktext/marktext,56310,4223,56310,JavaScript,https://api.github.com/repos/marktext/marktext,1693
wasabeef/awesome-android-ui,56177,10256,56177,,https://api.github.com/repos/wasabeef/awesome-android-ui,459
appwrite/appwrite,56122,5372,56122,TypeScript,https://api.github.com/repos/appwrite/appwrite,35189
golang-standards/project-layout,56003,5447,56003,Makefile,https://api.github.com/repos/golang-standards/project-layout,324
gatsbyjs/gatsby,55948,10188,55948,JavaScript,https://api.github.com/repos/gatsbyjs/gatsby,21866
upstash/context7,55858,2648,55858,TypeScript,https://api.github.com/repos/upstash/context7,821
go-gitea/gitea,55840,6712,55840,Go,https://api.github.com/repos/go-gitea/gitea,20846
azl397985856/leetcode,55778,9436,55778,JavaScript,https://api.github.com/repos/azl397985856/leetcode,1818
coollabsio/coolify,55735,4611,55735,PHP,https://api.github.com/repos/coollabsio/coolify,15553
termux/termux-app,55294,6614,55294,Java,https://api.github.com/repos/termux/termux-app,1504
deepfakes/faceswap,55234,13383,55234,Python,https://api.github.com/repos/deepfakes/faceswap,1893
AntonOsika/gpt-engineer,55218,7350,55218,Python,https://api.github.com/repos/AntonOsika/gpt-engineer,1648
ghostty-org/ghostty,55033,2751,55033,Zig,https://api.github.com/repos/ghostty-org/ghostty,16165
laurent22/joplin,54901,6106,54901,TypeScript,https://api.github.com/repos/laurent22/joplin,15096
ChrisTitusTech/winutil,54836,3090,54836,PowerShell,https://api.github.com/repos/ChrisTitusTech/winutil,1423
koala73/worldmonitor,54695,8812,54695,TypeScript,https://api.github.com/repos/koala73/worldmonitor,3914
Zie619/n8n-workflows,54621,7187,54621,Python,https://api.github.com/repos/Zie619/n8n-workflows,151
lencx/ChatGPT,54386,6161,54386,Rust,https://api.github.com/repos/lencx/ChatGPT,635
shanraisshan/claude-code-best-practice,54369,5452,54369,HTML,https://api.github.com/repos/shanraisshan/claude-code-best-practice,777
romkatv/powerlevel10k,54239,2422,54239,Shell,https://api.github.com/repos/romkatv/powerlevel10k,4322
facebookresearch/segment-anything,54216,6341,54216,Jupyter Notebook,https://api.github.com/repos/facebookresearch/segment-anything,49
maybe-finance/maybe,54134,5606,54134,Ruby,https://api.github.com/repos/maybe-finance/maybe,1419
ElemeFE/element,54127,14477,54127,Vue,https://api.github.com/repos/ElemeFE/element,4612
firstcontributions/first-contributions,54090,102893,54090,,https://api.github.com/repos/firstcontributions/first-contributions,27136
ruvnet/ruflo,54037,6124,54037,TypeScript,https://api.github.com/repos/ruvnet/ruflo,6582
psf/requests,54008,9937,54008,Python,https://api.github.com/repos/psf/requests,6467
karpathy/nanochat,53981,7278,53981,Python,https://api.github.com/repos/karpathy/nanochat,381
wagoodman/dive,53971,1993,53971,Go,https://api.github.com/repos/wagoodman/dive,508
ngosang/trackerslist,53941,6613,53941,,https://api.github.com/repos/ngosang/trackerslist,3891
vuejs/core,53703,9122,53703,TypeScript,https://api.github.com/repos/vuejs/core,7035
typst/typst,53684,1580,53684,Rust,https://api.github.com/repos/typst/typst,4621
WerWolv/ImHex,53654,2389,53654,C++,https://api.github.com/repos/WerWolv/ImHex,6299
TryGhost/Ghost,53624,11653,53624,JavaScript,https://api.github.com/repos/TryGhost/Ghost,45408
necolas/normalize.css,53546,10390,53546,CSS,https://api.github.com/repos/necolas/normalize.css,360
PowerShell/PowerShell,53535,8313,53535,C#,https://api.github.com/repos/PowerShell/PowerShell,11453
mozilla/pdf.js,53361,10621,53361,JavaScript,https://api.github.com/repos/mozilla/pdf.js,22718
google/material-design-icons,53318,9721,53318,,https://api.github.com/repos/google/material-design-icons,299
FlowiseAI/Flowise,52998,24373,52998,TypeScript,https://api.github.com/repos/FlowiseAI/Flowise,3591
D4Vinci/Scrapling,52855,5060,52855,Python,https://api.github.com/repos/D4Vinci/Scrapling,1442
earendil-works/pi,52768,6305,52768,TypeScript,https://api.github.com/repos/earendil-works/pi,4242
JetBrains/kotlin,52759,6309,52759,Kotlin,https://api.github.com/repos/JetBrains/kotlin,137369
MemPalace/mempalace,52650,6947,52650,Python,https://api.github.com/repos/MemPalace/mempalace,1043
rtk-ai/rtk,52618,3190,52618,Rust,https://api.github.com/repos/rtk-ai/rtk,996
sickcodes/Docker-OSX,52513,2890,52513,Shell,https://api.github.com/repos/sickcodes/Docker-OSX,504
ionic-team/ionic-framework,52509,13373,52509,TypeScript,https://api.github.com/repos/ionic-team/ionic-framework,14494
datawhalechina/hello-agents,52373,6372,52373,Python,https://api.github.com/repos/datawhalechina/hello-agents,789
tw93/Mole,52325,1653,52325,Shell,https://api.github.com/repos/tw93/Mole,2287
vsouza/awesome-ios,52261,6964,52261,Swift,https://api.github.com/repos/vsouza/awesome-ios,6512
crewAIInc/crewAI,51947,7202,51947,Python,https://api.github.com/repos/crewAIInc/crewAI,2429
prettier/prettier,51885,4720,51885,JavaScript,https://api.github.com/repos/prettier/prettier,11242
jellyfin/jellyfin,51882,4824,51882,C#,https://api.github.com/repos/jellyfin/jellyfin,28954
agalwood/Motrix,51761,4875,51761,JavaScript,https://api.github.com/repos/agalwood/Motrix,1170
etcd-io/etcd,51720,10360,51720,Go,https://api.github.com/repos/etcd-io/etcd,24783
OpenCut-app/OpenCut,51709,5597,51709,TypeScript,https://api.github.com/repos/OpenCut-app/OpenCut,1567
xai-org/grok-1,51676,8483,51676,Python,https://api.github.com/repos/xai-org/grok-1,9
google/guava,51497,11141,51497,Java,https://api.github.com/repos/google/guava,7350
chinese-poetry/chinese-poetry,51493,10382,51493,JavaScript,https://api.github.com/repos/chinese-poetry/chinese-poetry,631
dockur/windows,51449,4320,51449,Shell,https://api.github.com/repos/dockur/windows,572
jekyll/jekyll,51441,10285,51441,Ruby,https://api.github.com/repos/jekyll/jekyll,11872
DefinitelyTyped/DefinitelyTyped,51243,30494,51243,TypeScript,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped,91142
safishamsi/graphify,51153,5510,51153,Python,https://api.github.com/repos/safishamsi/graphify,511
lyswhut/lx-music-desktop,51128,6830,51128,TypeScript,https://api.github.com/repos/lyswhut/lx-music-desktop,2531
jesseduffield/lazydocker,51110,1616,51110,Go,https://api.github.com/repos/jesseduffield/lazydocker,892
Semantic-Org/Semantic-UI,51091,4873,51091,JavaScript,https://api.github.com/repos/Semantic-Org/Semantic-UI,6749
Avik-Jain/100-Days-Of-ML-Code,51077,11560,51077,,https://api.github.com/repos/Avik-Jain/100-Days-Of-ML-Code,109
ethereum/go-ethereum,51053,21928,51053,Go,https://api.github.com/repos/ethereum/go-ethereum,17026
charlax/professional-programming,50998,3989,50998,Python,https://api.github.com/repos/charlax/professional-programming,489
justjavac/awesome-wechat-weapp,50995,9014,50995,,https://api.github.com/repos/justjavac/awesome-wechat-weapp,606
odoo/odoo,50884,32496,50884,Python,https://api.github.com/repos/odoo/odoo,200062
poteto/hiring-without-whiteboards,50624,3884,50624,JavaScript,https://api.github.com/repos/poteto/hiring-without-whiteboards,2147
freqtrade/freqtrade,50620,10562,50620,Python,https://api.github.com/repos/freqtrade/freqtrade,31909
jingyaogong/minimind,50392,6428,50392,Python,https://api.github.com/repos/jingyaogong/minimind,353
dkhamsing/open-source-ios-apps,50379,5779,50379,,https://api.github.com/repos/dkhamsing/open-source-ios-apps,9278
dbeaver/dbeaver,50159,4191,50159,Java,https://api.github.com/repos/dbeaver/dbeaver,28614
jgthms/bulma,50080,3896,50080,CSS,https://api.github.com/repos/jgthms/bulma,1946
