repo_name,stars,forks,watchers,language,url
ueberdosis/tiptap,36883,2984,36883,TypeScript,https://api.github.com/repos/ueberdosis/tiptap
siddharthvaddem/openscreen,36861,2529,36861,TypeScript,https://api.github.com/repos/siddharthvaddem/openscreen
markedjs/marked,36828,3536,36828,JavaScript,https://api.github.com/repos/markedjs/marked
huggingface/pytorch-image-models,36822,5163,36822,Python,https://api.github.com/repos/huggingface/pytorch-image-models
ajeetdsouza/zoxide,36800,823,36800,Rust,https://api.github.com/repos/ajeetdsouza/zoxide
servo/servo,36793,3630,36793,Rust,https://api.github.com/repos/servo/servo
mattermost/mattermost,36785,8627,36785,TypeScript,https://api.github.com/repos/mattermost/mattermost
umami-software/umami,36780,7162,36780,TypeScript,https://api.github.com/repos/umami-software/umami
xyflow/xyflow,36694,2406,36694,TypeScript,https://api.github.com/repos/xyflow/xyflow
shadowsocks/shadowsocks-android,36664,11492,36664,Kotlin,https://api.github.com/repos/shadowsocks/shadowsocks-android
inkonchain/docs,36657,465,36657,MDX,https://api.github.com/repos/inkonchain/docs
inkonchain/node,36599,636,36599,Shell,https://api.github.com/repos/inkonchain/node
date-fns/date-fns,36569,1945,36569,TypeScript,https://api.github.com/repos/date-fns/date-fns
myshell-ai/OpenVoice,36552,4082,36552,Python,https://api.github.com/repos/myshell-ai/OpenVoice
google/langextract,36517,2513,36517,Python,https://api.github.com/repos/google/langextract
inkonchain/ink-kit,36510,430,36510,TypeScript,https://api.github.com/repos/inkonchain/ink-kit
typeorm/typeorm,36505,6560,36505,TypeScript,https://api.github.com/repos/typeorm/typeorm
open-guides/og-aws,36416,3902,36416,Shell,https://api.github.com/repos/open-guides/og-aws
hankcs/HanLP,36318,10893,36318,Python,https://api.github.com/repos/hankcs/HanLP
fastify/fastify,36277,2684,36277,JavaScript,https://api.github.com/repos/fastify/fastify
SheetJS/sheetjs,36260,7951,36260,,https://api.github.com/repos/SheetJS/sheetjs
formulahendry/955.WLB,36233,1744,36233,,https://api.github.com/repos/formulahendry/955.WLB
TriliumNext/Trilium,36153,2410,36153,TypeScript,https://api.github.com/repos/TriliumNext/Trilium
pbatard/rufus,36143,3060,36143,C,https://api.github.com/repos/pbatard/rufus
jaywcjlove/linux-command,36142,6605,36142,Markdown,https://api.github.com/repos/jaywcjlove/linux-command
slatedocs/slate,36116,368,36116,,https://api.github.com/repos/slatedocs/slate
reworkd/AgentGPT,36115,9350,36115,TypeScript,https://api.github.com/repos/reworkd/AgentGPT
DioxusLabs/dioxus,36108,1661,36108,Rust,https://api.github.com/repos/DioxusLabs/dioxus
geekxh/hello-algorithm,36078,6424,36078,Java,https://api.github.com/repos/geekxh/hello-algorithm
lerna/lerna,36072,2270,36072,TypeScript,https://api.github.com/repos/lerna/lerna
veggiemonk/awesome-docker,36056,3300,36056,,https://api.github.com/repos/veggiemonk/awesome-docker
doocs/leetcode,36033,9420,36033,Java,https://api.github.com/repos/doocs/leetcode
carbon-app/carbon,36023,1975,36023,JavaScript,https://api.github.com/repos/carbon-app/carbon
harness/harness,36010,3147,36010,Go,https://api.github.com/repos/harness/harness
Textualize/textual,35990,1202,35990,Python,https://api.github.com/repos/Textualize/textual
hyprwm/Hyprland,35958,1760,35958,C++,https://api.github.com/repos/hyprwm/Hyprland
XingangPan/DragGAN,35854,3425,35854,Python,https://api.github.com/repos/XingangPan/DragGAN
anthropics/prompt-eng-interactive-tutorial,35850,3856,35850,Jupyter Notebook,https://api.github.com/repos/anthropics/prompt-eng-interactive-tutorial
directus/directus,35821,4771,35821,TypeScript,https://api.github.com/repos/directus/directus
wshobson/agents,35786,3888,35786,Python,https://api.github.com/repos/wshobson/agents
opentofu/manifesto,35784,1036,35784,HTML,https://api.github.com/repos/opentofu/manifesto
koajs/koa,35715,3216,35715,JavaScript,https://api.github.com/repos/koajs/koa
mouredev/Hello-Python,35713,2299,35713,Python,https://api.github.com/repos/mouredev/Hello-Python
jondot/awesome-react-native,35690,4022,35690,JavaScript,https://api.github.com/repos/jondot/awesome-react-native
jax-ml/jax,35672,3588,35672,Python,https://api.github.com/repos/jax-ml/jax
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,35668,5051,35668,Python,https://api.github.com/repos/RVC-Project/Retrieval-based-Voice-Conversion-WebUI
junegunn/vim-plug,35663,1946,35663,Vim Script,https://api.github.com/repos/junegunn/vim-plug
hashicorp/vault,35647,4672,35647,Go,https://api.github.com/repos/hashicorp/vault
airbnb/lottie-android,35610,5432,35610,Java,https://api.github.com/repos/airbnb/lottie-android
solidjs/solid,35559,1062,35559,TypeScript,https://api.github.com/repos/solidjs/solid
zsh-users/zsh-autosuggestions,35558,1931,35558,Shell,https://api.github.com/repos/zsh-users/zsh-autosuggestions
1Panel-dev/1Panel,35539,3180,35539,Go,https://api.github.com/repos/1Panel-dev/1Panel
HKUDS/LightRAG,35535,5021,35535,Python,https://api.github.com/repos/HKUDS/LightRAG
xinntao/Real-ESRGAN,35501,4340,35501,Python,https://api.github.com/repos/xinntao/Real-ESRGAN
alvarotrigo/fullPage.js,35447,7139,35447,JavaScript,https://api.github.com/repos/alvarotrigo/fullPage.js
nextcloud/server,35427,4964,35427,PHP,https://api.github.com/repos/nextcloud/server
microsoft/Data-Science-For-Beginners,35395,7202,35395,Jupyter Notebook,https://api.github.com/repos/microsoft/Data-Science-For-Beginners
datalab-to/marker,35326,2451,35326,Python,https://api.github.com/repos/datalab-to/marker
nativefier/nativefier,35316,2241,35316,TypeScript,https://api.github.com/repos/nativefier/nativefier
mpv-player/mpv,35313,3342,35313,C,https://api.github.com/repos/mpv-player/mpv
google-ai-edge/mediapipe,35298,5989,35298,C++,https://api.github.com/repos/google-ai-edge/mediapipe
sahat/hackathon-starter,35215,8169,35215,JavaScript,https://api.github.com/repos/sahat/hackathon-starter
pnpm/pnpm,35188,1453,35188,TypeScript,https://api.github.com/repos/pnpm/pnpm
patchy631/ai-engineering-hub,35172,5842,35172,Jupyter Notebook,https://api.github.com/repos/patchy631/ai-engineering-hub
schollz/croc,35115,1387,35115,Go,https://api.github.com/repos/schollz/croc
aquasecurity/trivy,35114,387,35114,Go,https://api.github.com/repos/aquasecurity/trivy
alan2207/bulletproof-react,35112,3192,35112,TypeScript,https://api.github.com/repos/alan2207/bulletproof-react
unknwon/the-way-to-go_ZH_CN,35108,8536,35108,Go,https://api.github.com/repos/unknwon/the-way-to-go_ZH_CN
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,35106,5835,35106,JavaScript,https://api.github.com/repos/ryanhanwu/How-To-Ask-Questions-The-Smart-Way
typicode/husky,35084,1083,35084,JavaScript,https://api.github.com/repos/typicode/husky
