repo_name,stars,forks,language,open_issues_count,size,has_wiki,has_pages,has_discussions,archived,repo_age_days,commits
Dokploy/dokploy,34161,2499,TypeScript,566,29893,True,False,True,False,763,6112
zenorocha/clipboard.js,34157,3914,JavaScript,15,3631,True,True,True,False,3898,396
utmapp/UTM,34146,1711,Swift,1038,50652,True,False,True,False,2596,3739
AdguardTeam/AdGuardHome,34138,2341,Go,1269,29012,True,False,True,False,3607,4476
chenfei-wu/TaskMatrix,34125,3226,Python,258,41169,True,False,False,False,1177,117
xkcoding/spring-boot-demo,34109,10945,Java,142,14194,True,False,True,False,3115,734
CMU-Perceptual-Computing-Lab/openpose,34101,8053,C++,359,86496,True,True,False,False,3315,716
SeleniumHQ/selenium,34092,8682,Java,177,2361964,True,True,False,False,4875,34451
SagerNet/sing-box,34077,4021,Go,246,20120,False,True,False,False,1422,2408
songquanpeng/one-api,34077,6505,JavaScript,1010,15963,True,False,False,False,1126,1210
ehang-io/nps,34062,6088,Go,525,9168,True,True,False,False,2756,700
ZuodaoTech/everyone-can-use-english,34056,4747,TypeScript,105,278757,True,False,True,False,2624,1459
atlassian/react-beautiful-dnd,33998,2715,JavaScript,642,14804,False,False,False,True,3208,822
v2fly/v2ray-core,33985,5059,Go,38,69210,False,False,True,False,2594,6910
awesome-foss/awesome-sysadmin,33981,2019,,62,1322,False,False,False,False,4168,1545
vercel-labs/agent-browser,33963,2118,Rust,481,17041,True,False,False,False,131,575
zxing/zxing,33955,9425,Java,3,243581,True,True,False,False,5336,3878
PDFMathTranslate/PDFMathTranslate,33945,3049,Python,124,54517,True,False,False,False,623,1144
lllyasviel/ControlNet,33888,3016,Python,462,125281,True,False,True,False,1206,188
IceWhaleTech/CasaOS,33868,1906,Go,796,182856,True,False,True,False,1699,688
medusajs/medusa,33863,4533,TypeScript,159,771125,True,False,True,False,2316,10068
anoma/anoma,33840,4117,Elixir,120,78462,True,True,False,False,1935,2704
casey/just,33825,790,Rust,308,16673,False,True,True,False,3626,1696
luongnv89/claude-howto,33810,4144,Python,29,13261,True,True,False,False,195,212
halfrost/LeetCode-Go,33790,5737,Go,23,19315,True,False,True,False,3230,1650
Pythagora-io/gpt-pilot,33775,3494,Python,248,359723,True,False,True,False,1010,2884
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,33747,7171,,64,879,True,True,False,False,1966,30
balena-io/etcher,33745,2370,TypeScript,673,101184,True,True,False,False,3859,3481
alibaba/easyexcel,33720,7599,Java,569,26334,True,False,True,True,3027,1196
nothings/stb,33715,8056,C,402,5854,False,False,True,False,4379,2230
carbon-language/carbon-lang,33711,1534,C++,230,107056,True,True,True,False,2215,5315
derailed/k9s,33709,2166,Go,203,62577,True,False,False,False,2673,2096
huggingface/diffusers,33682,6995,Python,1133,98949,True,False,True,False,1452,6519
ocrmypdf/OCRmyPDF,33679,2336,Python,146,69428,True,False,True,False,4536,4318
Blankj/AndroidUtilCode,33674,10656,Java,327,47329,False,True,True,False,3582,1433
restic/restic,33626,1760,Go,536,70974,False,False,False,False,4408,9590
github/awesome-copilot,33607,4089,Python,48,63643,False,True,True,False,344,1752
explosion/spaCy,33600,4686,Python,206,203709,False,False,True,False,4340,16313
shadowsocks/shadowsocks,33591,18141,Python,450,891,True,False,False,False,5145,1
lib-pku/libpku,33590,8224,TeX,14,714371,True,False,False,False,2738,132
openai/CLIP,33550,4009,Jupyter Notebook,273,9143,False,False,False,False,1983,58
TabbyML/tabby,33542,1747,Rust,315,112194,False,True,True,False,1163,3694
fish-shell/fish-shell,33505,2303,Rust,553,178701,True,False,True,False,5125,22876
pcottle/learnGitBranching,33468,5971,JavaScript,61,63008,True,True,True,False,5029,3199
XX-net/XX-Net,33461,7573,Python,7921,60663,True,False,False,False,4145,2596
AFNetworking/AFNetworking,33456,10597,Objective-C,102,6129,True,False,False,True,5469,2944
