repo_name,stars,forks,language,open_issues_count,size,has_wiki,has_pages,has_discussions,archived,repo_age_days,commits
9001/copyparty,44948,1836,Python,257,8634,False,False,True,False,2552,4607
ueberdosis/tiptap,36884,2984,TypeScript,893,80936,False,False,True,False,2831,7765
huggingface/pytorch-image-models,36822,5163,Python,66,30796,True,True,True,False,2666,3109
google/leveldb,39091,8199,C++,389,1848,False,False,False,False,4285,447
lyswhut/lx-music-desktop,51129,6830,TypeScript,1173,85153,False,False,True,False,2472,2531
